City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,77.25,light rain,-23.1203,-134.9692,Pension Maro'i
10,Pangkalanbuun,86.59,light rain,-2.6833,111.6167,Grand Kecubung Hotel
14,Atuona,80.24,broken clouds,-9.8,-139.0333,Villa Enata
15,Vaini,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
16,Lorengau,83.8,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
27,Saint-Philippe,82.4,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Avarua,77.0,broken clouds,-21.2078,-159.775,Paradise Inn
36,Nishihara,82.4,scattered clouds,26.1842,127.7558,Minshuku Agaihama
43,Sassandra,75.33,overcast clouds,4.95,-6.0833,la terrasse
47,Malakal,77.86,overcast clouds,9.5334,31.6605,Nile Palace Hotel
48,Busselton,75.99,overcast clouds,-33.65,115.3333,Observatory Guest House
50,Vanimo,83.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
54,Batticaloa,86.32,overcast clouds,7.7102,81.6924,Grand Star Guest House
55,San Carlos Del Zulia,75.45,broken clouds,9.0,-71.9135,Hotel El Manantial
60,Ambanja,80.92,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
64,Faanui,81.3,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Biltine,86.56,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
69,Mazagao,77.0,fog,-0.115,-51.2894,Recanto dos Ferreiras
70,Dingle,86.38,light rain,10.9995,122.6711,SEGAYA PROPERTY
79,Alofi,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
84,Port Blair,87.24,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
86,Gerash,86.0,clear sky,27.6652,54.1371,Sa'adat House
94,Georgetown,89.6,scattered clouds,5.4112,100.3354,Cititel Penang
97,Garoua,85.35,scattered clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
110,Puerto Escondido,80.98,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
112,Tauramena,78.67,broken clouds,5.0183,-72.7492,Hotel Paso del Oriente
115,Butaritari,82.54,light rain,3.0707,172.7902,Isles Sunset Lodge
121,Kavieng,83.89,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
127,Geraldton,86.0,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
129,Dhidhdhoo,84.33,few clouds,6.8833,73.1,Dhidhoo beach
133,Victoria,77.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
134,Porto Novo,82.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
142,San Policarpo,82.02,few clouds,12.1791,125.5072,JM Lodge
147,Bambous Virieux,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
153,Manggar,86.32,few clouds,-2.8833,108.2667,Guest Hotel
171,Singaraja,86.31,clear sky,-8.112,115.0882,Puri Bagus Lovina Resort
176,Panuco,75.99,overcast clouds,22.05,-98.1667,Hotel Plaza
177,Trincomalee,83.97,broken clouds,8.5711,81.2335,Welcombe Hotel
193,Samarai,84.78,broken clouds,-10.6167,150.6667,Nuli Sapi
194,Wanning,84.27,moderate rain,18.8003,110.3967,Paradise Hotel
196,Bowen,75.2,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
198,Mersing,87.8,scattered clouds,2.4312,103.8405,Timotel Hotel
202,The Valley,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
203,Hithadhoo,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
204,Alyangula,77.0,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
208,Port Hedland,89.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
209,Lodwar,83.57,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
226,Karratha,87.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
232,Banda Aceh,84.09,overcast clouds,5.5577,95.3222,Sulthan Hotel International
234,Poum,77.13,scattered clouds,-20.2333,164.0167,Gîte kajeon
235,Yulara,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
251,Isangel,78.8,broken clouds,-19.55,169.2667,Tanna Lodge
254,Puerto Carreno,78.49,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
255,Santa Cruz Del Norte,77.0,few clouds,23.1539,-81.9236,Felipon Pon Pon
259,Sabzevar,82.4,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
260,Inhambane,77.0,few clouds,-23.865,35.3833,Oceano
