City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mercedes,-34.6515,-59.4307,55.0,94,97,4.41,overcast clouds
1,Rikitea,-23.1203,-134.9692,77.25,77,27,6.02,light rain
2,Talnakh,69.4865,88.3972,12.61,85,98,9.37,overcast clouds
3,Hobart,-42.8794,147.3294,62.6,45,20,19.57,few clouds
4,East London,-33.0153,27.9116,64.4,63,0,5.75,clear sky
5,Castro,-24.7911,-50.0119,54.7,96,39,2.37,scattered clouds
6,Ushuaia,-54.8,-68.3,42.8,93,90,8.05,overcast clouds
7,Qaanaaq,77.484,-69.3632,27.88,64,6,9.75,clear sky
8,Pathein,16.7833,94.7333,98.91,31,59,11.03,broken clouds
9,Kuusamo,65.9667,29.1833,30.2,74,75,11.5,broken clouds
10,Pangkalanbuun,-2.6833,111.6167,86.59,69,53,4.45,light rain
11,Coos Bay,43.3665,-124.2179,46.4,93,90,5.75,overcast clouds
12,Punta Arenas,-53.15,-70.9167,42.8,100,90,8.05,light rain
13,Tura,25.5198,90.2201,99.79,15,59,7.18,broken clouds
14,Atuona,-9.8,-139.0333,80.24,71,63,19.35,broken clouds
15,Vaini,-21.2,-175.2,78.8,89,75,3.44,light rain
16,Lorengau,-2.0226,147.2712,83.8,73,74,2.68,broken clouds
17,Dunedin,-45.8742,170.5036,46.0,75,84,24.0,broken clouds
18,Albany,42.6001,-73.9662,41.0,56,47,3.0,scattered clouds
19,Faya,18.3851,42.4509,73.4,42,40,4.12,scattered clouds
20,Whitehorse,60.7161,-135.0538,48.2,27,1,6.91,clear sky
21,New Norfolk,-42.7826,147.0587,60.01,76,100,4.0,overcast clouds
22,Krasnoselkup,65.7,82.4667,29.28,84,22,10.71,few clouds
23,Bethel,41.3712,-73.414,48.2,43,1,14.97,clear sky
24,Mataura,-46.1927,168.8643,46.99,62,96,17.0,overcast clouds
25,Kapaa,22.0752,-159.319,73.4,78,75,17.27,broken clouds
26,Ancud,-41.8697,-73.8203,52.0,100,90,4.61,fog
27,Saint-Philippe,-21.3585,55.7679,82.4,65,0,18.41,light rain
28,Tasiilaq,65.6145,-37.6368,39.2,70,75,16.11,broken clouds
