City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Urumqi,43.801,87.6005,53.6,16,0,6.71,CN,2021-04-26 04:46:07
1,Atuona,-9.8,-139.0333,79.95,76,77,19.13,PF,2021-04-26 04:46:00
2,Vaini,-21.2,-175.2,82.4,89,75,4.61,TO,2021-04-26 04:46:08
3,Champerico,14.3,-91.9167,66.99,95,90,3.89,GT,2021-04-26 04:46:08
4,Avarua,-21.2078,-159.775,78.8,78,20,5.75,CK,2021-04-26 04:46:01
5,Bluff,-46.6,168.3333,48.0,65,81,15.99,NZ,2021-04-26 04:45:49
6,Las Cruces,32.3123,-106.7783,70.0,8,1,8.05,US,2021-04-26 04:46:09
7,Yenagoa,4.9247,6.2642,78.15,88,97,3.24,NG,2021-04-26 04:46:09
8,Chokurdakh,70.6333,147.9167,30.92,98,100,10.0,RU,2021-04-26 04:46:10
9,Castro,-24.7911,-50.0119,55.62,96,81,2.3,BR,2021-04-26 04:45:55
10,Port Elizabeth,-33.918,25.5701,59.0,88,0,2.3,ZA,2021-04-26 04:46:10
11,New Norfolk,-42.7826,147.0587,63.0,74,100,5.99,AU,2021-04-26 04:46:11
12,Ushuaia,-54.8,-68.3,46.4,81,90,3.44,AR,2021-04-26 04:46:03
13,Cape Town,-33.9258,18.4232,62.01,88,20,6.91,ZA,2021-04-26 04:43:04
14,Kavieng,-2.5744,150.7967,84.13,67,92,4.32,PG,2021-04-26 04:46:12
15,Cap Malheureux,-19.9842,57.6142,78.01,83,100,8.99,MU,2021-04-26 04:46:12
16,Baiyin,36.5583,104.2081,46.4,27,11,8.95,CN,2021-04-26 04:46:12
17,Maamba,-17.3667,27.15,65.68,78,79,1.61,ZM,2021-04-26 04:46:13
18,Punta Arenas,-53.15,-70.9167,44.6,93,90,5.75,CL,2021-04-26 04:41:40
19,Coihaique,-45.5752,-72.0662,45.21,96,78,5.5,CL,2021-04-26 04:46:14
20,Kapaa,22.0752,-159.319,75.2,73,40,13.8,US,2021-04-26 04:45:59
21,Nhulunbuy,-12.2333,136.7667,82.4,83,40,5.75,AU,2021-04-26 04:46:14
22,Longyearbyen,78.2186,15.6401,15.8,67,20,4.61,SJ,2021-04-26 04:46:03
23,Jinchang,38.4953,102.1739,49.19,20,97,3.94,CN,2021-04-26 04:46:15
24,Rikitea,-23.1203,-134.9692,77.81,75,33,5.19,PF,2021-04-26 04:46:15
25,Huntsville,34.7304,-86.5861,53.01,87,1,3.69,US,2021-04-26 04:41:41
26,Tiksi,71.6872,128.8694,25.95,94,100,14.81,RU,2021-04-26 04:46:16
27,Santa Isabel Do Rio Negro,-0.4139,-65.0192,73.85,98,93,2.57,BR,2021-04-26 04:46:16
28,Mataura,-46.1927,168.8643,48.0,65,96,15.99,NZ,2021-04-26 04:46:16
29,Khatanga,71.9667,102.5,17.24,84,99,17.25,RU,2021-04-26 04:41:03
30,Cartagena,10.3997,-75.5144,80.6,83,75,10.36,CO,2021-04-26 04:46:17
31,Hinatuan,8.3722,126.3342,83.01,77,99,6.15,PH,2021-04-26 04:46:17
32,Atar,20.5169,-13.0499,74.17,23,0,7.99,MR,2021-04-26 04:46:18
33,Belovo,54.4165,86.2976,48.58,49,100,6.64,RU,2021-04-26 04:46:18
34,Port Alfred,-33.5906,26.891,71.47,43,95,6.76,ZA,2021-04-26 04:46:18
35,Smirnykh,49.75,142.8333,40.15,36,100,8.57,RU,2021-04-26 04:46:19
36,Yoichi,43.2039,140.7703,46.0,56,40,18.41,JP,2021-04-26 04:46:19
37,Arraial Do Cabo,-22.9661,-42.0278,73.76,88,50,8.19,BR,2021-04-26 04:46:20
38,Provideniya,64.3833,-173.3,33.8,75,0,4.47,RU,2021-04-26 04:45:57
39,Albany,42.6001,-73.9662,43.0,53,63,4.0,US,2021-04-26 04:41:42
40,Tuktoyaktuk,69.4541,-133.0374,14.0,79,90,8.05,CA,2021-04-26 04:46:20
41,Uspenka,48.3903,39.1619,49.39,51,100,5.97,UA,2021-04-26 04:46:21
42,Ostrovnoy,68.0531,39.5131,31.39,91,100,23.76,RU,2021-04-26 04:46:21
43,Gat,31.61,34.7642,66.99,100,30,1.01,IL,2021-04-26 04:42:00
44,Saint-Philippe,-21.3585,55.7679,78.8,65,0,11.5,RE,2021-04-26 04:46:22
45,Hilo,19.7297,-155.09,73.4,83,90,6.91,US,2021-04-26 04:46:22
46,Grindavik,63.8424,-22.4338,37.4,93,0,12.66,IS,2021-04-26 04:46:22
47,Bandarbeyla,9.4942,50.8122,83.46,65,78,5.41,SO,2021-04-26 04:46:23
48,East London,-33.0153,27.9116,66.2,52,0,5.75,ZA,2021-04-26 04:42:54
49,Bredasdorp,-34.5322,20.0403,51.8,93,79,2.3,ZA,2021-04-26 04:45:59
50,Tongren,27.7172,109.1853,65.3,79,97,2.08,CN,2021-04-26 04:46:24
51,Buritis,-15.6178,-46.4233,76.8,56,88,0.85,BR,2021-04-26 04:46:24
52,Victoria,22.2855,114.1577,75.0,78,100,5.99,HK,2021-04-26 04:45:13
53,Ribeira Grande,38.5167,-28.7,59.0,72,20,4.61,PT,2021-04-26 04:46:24
54,Hermanus,-34.4187,19.2345,60.01,91,1,1.99,ZA,2021-04-26 04:45:49
55,Torbay,47.6666,-52.7314,39.99,70,1,6.91,CA,2021-04-26 04:46:25
56,Komsomolskiy,40.4272,71.7189,73.4,27,3,4.61,UZ,2021-04-26 04:46:26
57,Ampanihy,-24.7,44.75,76.87,57,0,8.77,MG,2021-04-26 04:46:26
58,Keningau,5.3378,116.1602,89.6,74,20,9.22,MY,2021-04-26 04:46:26
59,Toora-Khem,52.4675,96.11,40.5,47,98,8.79,RU,2021-04-26 04:46:27
60,Butaritari,3.0707,172.7902,82.81,74,16,12.86,KI,2021-04-26 04:46:27
61,Saint George,37.1041,-113.5841,70.0,14,1,4.47,US,2021-04-26 04:43:53
62,Constitucion,-35.3333,-72.4167,56.14,76,0,8.61,CL,2021-04-26 04:46:28
63,Sitka,57.0531,-135.33,55.4,50,1,3.44,US,2021-04-26 04:46:28
64,Bethel,41.3712,-73.414,53.6,50,40,5.75,US,2021-04-26 04:46:28
65,Iqaluit,63.7506,-68.5145,32.0,93,90,3.44,CA,2021-04-26 04:46:29
66,Labuhan,-6.8844,112.2051,87.3,60,2,10.42,ID,2021-04-26 04:46:29
67,Zhenlai,45.8495,123.2973,70.47,11,100,20.85,CN,2021-04-26 04:46:30
68,Kahului,20.8947,-156.47,73.4,83,40,18.41,US,2021-04-26 04:46:30
69,Laguna,38.421,-121.4238,53.6,54,1,10.36,US,2021-04-26 04:46:30
70,San Patricio,28.017,-97.5169,73.4,88,75,10.36,US,2021-04-26 04:46:31
71,Serebryansk,49.6925,83.2892,57.2,21,20,8.95,KZ,2021-04-26 04:46:31
72,Quatre Cocos,-20.2078,57.7625,78.01,88,75,14.97,MU,2021-04-26 04:46:32
73,Lata,40.1629,-8.3327,57.2,88,40,5.75,PT,2021-04-26 04:46:32
74,Dikson,73.5069,80.5464,20.16,93,100,21.94,RU,2021-04-26 04:46:32
75,Amga,60.8953,131.9608,36.1,99,100,6.62,RU,2021-04-26 04:46:33
76,Marquette,46.5333,-87.6335,30.99,74,99,4.54,US,2021-04-26 04:46:34
77,Kieta,-6.2167,155.6333,85.15,68,26,6.29,PG,2021-04-26 04:46:34
78,Salalah,17.0151,54.0924,84.2,70,40,2.3,OM,2021-04-26 04:43:51
79,Norman Wells,65.282,-126.8329,28.4,46,40,6.91,CA,2021-04-26 04:46:34
80,North Shore,-36.8,174.75,64.0,70,50,5.99,NZ,2021-04-26 04:46:35
81,Busselton,-33.65,115.3333,79.0,46,99,3.0,AU,2021-04-26 04:46:35
82,Tual,-5.6667,132.75,83.21,70,74,9.06,ID,2021-04-26 04:46:36
83,Talnakh,69.4865,88.3972,11.82,84,99,9.33,RU,2021-04-26 04:46:36
